identifier,name,url,author,description,datePublished,source_name,source_identifier,source_url
10.1109/asap.2011.6043275,Stack data management for Limited Local Memory (LLM) multi-core processors,https://openalex.org/W1972080618,Ke Bai; Aviral Shrivastava; Saleel Kudchadker,"Limited Local Memory (LLM) architectures are power-efficient, scalable memory multi-core architectures, in which cores have a scratch-pad like local that is software controlled. Any data transfers between the main and must be explicitly present as Direct Access (DMA) commands application. Stack management of an important problem LLM architecture, our previous work outlined promising scheme for [1]. In this paper, we improve approach, now can i) manage limitless stack data, ii) increase applicability management, iii) perform with smaller footprint on memory. We demonstrate these by executing benchmarks from MiBench suite IBM Cell processor.",2011-09-01,OPENALEX,W1972080618,https://openalex.org/W1972080618
10.1016/j.theochem.2005.04.007,"Computational investigation on HEDM of azoic and azoxy derivatives of DAF, FOX-7, TATB, ANPZ and LLM-105",https://openalex.org/W1978491140,Chaoyang Zhang; Yuanjie Shu; Xiaodong Zhao; Huafeng Dong; Xinfeng Wang,"Crystal densities, heats of formation (HOF) in gas phase, relative specific impulses (RIs) vs. octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine (HMX), detonation (HOD), velocities (VD) and pressures (PD) azoic azoxy derivatives 3,4-diaminofuran (DAF), 1,1-diamino-2,2-dinitroethylene (FOX-7), 1,3,5-triamino-2,4,6-trinitro-benzene (TATB), 2,6-diamino-3,5-dinitropyrazine (ANPZ) 2,6-diamino-3,5-dinitropyrazine-1-oxide (LLM-105) were calculated by quantum chemistry, molecular mechanics Monte Carlo methods to design new high energy density materials (HEDM). The stabilities FOX-7's discussed using bond lengths, natural orbital (NBO) nitro group net charge analyses. 1,1′-diamino-2,2,2′,2′-tetranitro-1,1′-azoethylene (M1) was recommended be very promising energetic for its good stability excellent properties: the HOF is 648.6 kJ/mol, crystal 1.95 g/cm3, HOD 5.66 kJ/g, VD 9.68 km/s, PD 43.42 GPa RIs 1.077. Furthermore, probability synthesize directly basic compounds evaluated Fukui function calculation on nitrogen atoms amino groups these compounds. As a result, only DAF can easily react with single-electron oxidant another way M1 should considered.",2005-09-01,OPENALEX,W1978491140,https://openalex.org/W1978491140
10.1063/1.4891933,"First-principles high-pressure unreacted equation of state and heat of formation of crystal 2,6-diamino-3, 5-dinitropyrazine-1-oxide (LLM-105)",https://openalex.org/W2059948226,M. Riad Manaa; I‐Feng W. Kuo; Laurence E. Fried,"We report dispersion-corrected density functional theoretical calculations of the unreacted equation state (EOS) crystal 2,6-diamino-3, 5-dinitropyrazine-1-oxide (LLM-105) under hydrostatic compression up to 45 GPa. Convergence tests for k-points sampling in Brillouin zone show that a 3 × 1 2 mesh is required reproduce X-ray structure at ambient conditions, and we confirm our finding with separate supercell calculation. Our high-pressure EOS yields bulk modulus 19.2 GPa, indicates tendency towards anisotropic along b lattice vector due molecular orientations within lattice. find electronic energy band gap decreases from semiconductor type 1.3 eV 0 GPa quasi-metallic 0.6 The extensive intermolecular hydrogen bonds involving oxide (–NO) dioxide (–NO2) interactions amine (–NH2) group showed enhanced increasing pressure should be discernible mid IR spectral region. do not evidence structural phase transitions or chemically induced transformations range study. gas heat formation calculated G4 level theory 22.48 kcal/mol, while obtain 25.92 kcal/mol using ccCA-PS3 method. Density phases provided an estimate sublimation 32.4 kcal/mol. thus determine room-temperature solid LLM-105 −9.9 −6.5 based on methods, respectively.",2014-08-08,OPENALEX,W2059948226,https://openalex.org/W2059948226
10.1016/0168-0072(94)00033-y,Sequent reconstruction in LLM—A sweepline proof,https://openalex.org/W2033995205,Richard Banach,An alternative proof is given that to each LLM net there corresponds at least one sequent proof. The construction inspired by the sweepline technique from computational geometry and includes a treatment of multiplicative constants boxes.,1995-06-01,OPENALEX,W2033995205,https://openalex.org/W2033995205
10.1088/1361-6382/aaa623,Code subspaces for LLM geometries,https://openalex.org/W2741107694,David Berenstein; Alexandra C. Miller,"We consider effective field theory around classical background geometries with a gauge dual, in the class of LLM geometries. These are dual to half-BPS states $\cal{N}=$ 4 SYM. find that language code subspaces is natural for discussing set nearby states, which built by acting fields on these backgrounds. This work extends our previous going beyond strict infinite $N$ limit. further discuss how one can extract topology state $N\rightarrow\infty$ and uncertainty entanglement entropy calculations still provide useful tool do so. Finally, we obstructions writing down globally defined metric operator. answer depends choice reference starts with. Therefore there ambiguity trying write an operator describes globally.",2018-02-06,OPENALEX,W2741107694,https://openalex.org/W2741107694
10.1007/jhep04(2017)104,Mass-deformed ABJM theory and LLM geometries: exact holography,https://openalex.org/W3131894057,Dongmin Jang; Yoonbai Kim; O-Kab Kwon; D. D. Tolla,"We present a detailed account and extension of our claim in arXiv:1610.01490. test the gauge/gravity duality between ${\cal N} = 6$ mass-deformed ABJM theory with U$_k(N)\times$U$_{-k}(N)$ gauge symmetry 11-dimensional supergravity on LLM geometries SO(4)/${\mathbb Z}_k$ $\times$SO(4)/${\mathbb isometry, large $N$ limit. Our analysis is based evaluation vacuum expectation values chiral primary operators from supersymmetric vacua implementation Kaluza-Klein holography to geometries. focus operator conformal dimension $\Delta 1$. show that $\langle {\cal O}^{(\Delta=1)}\rangle= N^{\frac32} \, f_{(\Delta=1)}$ for all solutions $k=1$, where factor $f_{(\Delta)}$ independent $N$. also confirm value energy momentum tensor vanishing as expected by supersymmetry. extend results case $k\ne 1$ represented rectangular-shaped Young-diagrams. In analogy Coulomb branch 4$ super Yang-Mills theory, we argue discrete Higgs mABJM well corresponding are parametrized vevs operators.",2017-04-01,OPENALEX,W3131894057,https://openalex.org/W3131894057
10.1063/1.4932683,"The high pressure structure and equation of state of 2,6-diamino-3,5-dinitropyrazine-1-oxide (LLM-105) up to 20 GPa: X-ray diffraction measurements and first principles molecular dynamics simulations",https://openalex.org/W1958411323,Elissaios Stavrou; M. Riad Manaa; Joseph M. Zaug; I‐Feng W. Kuo; Philip F. Pagoria; Bora Kalkan; Jonathan C. Crowhurst; Michael R. Armstrong,"Recent theoretical studies of 2,6-diamino-3,5-dinitropyrazine-1-oxide (C4H4N6O5 Lawrence Livermore Molecule No. 105, LLM-105) report unreacted high pressure equations state that include several structural phase transitions, between 8 and 50 GPa, while one published experimental study reports equation (EOS) data up to a 6 GPa with no observed transition. Here we the results synchrotron-based X-ray diffraction also ambient temperature isobaric-isothermal atomistic molecular dynamics simulations LLM-105 20 GPa. We find remains stable GPa; there is indication induced do prominent decrease in b-axis compressibility starting at approximately 13 attribute stiffening critical length where inter-sheet distance becomes similar intermolecular within individual sheets. The isothermal was determined through refinements measured patterns. pressure-volume were fit using various EOS models yield bulk moduli corresponding derivatives. very good agreement theoretically derived EOS.",2015-10-14,OPENALEX,W1958411323,https://openalex.org/W1958411323
10.1145/2038698.2038731,Vector class on limited local memory (LLM) multi-core processors,https://openalex.org/W2079842646,Ke Bai; Di Lu; Aviral Shrivastava,"Limited Local Memory (LLM) multi-core architecture is a promising solution for scalable memory hierarchy. LLM architecture, e.g., IBM Cell/B.E. purely distributed in which each core can directly access only its small local memory, and that why it extremely power-efficient. Vector popular container class the C++ Standard Template Library (STL), provides functionality similar to dynamic array. Due non-virtualized vector library implementation cannot be used as is. In this paper, we propose implement scheme manage present of architecture. Our transparently maintain data between shared global memories. addition, different transfer granularities are provided by our achieve better performance. We also mechanism ensure validity pointers-to-elements when elements moved into memory. Experimental result shows improve programmability significantly while overhead contained within 7%.",2011-10-09,OPENALEX,W2079842646,https://openalex.org/W2079842646
10.1016/j.ejor.2018.02.009,A new hybrid classification algorithm for customer churn prediction based on logistic regression and decision trees,https://openalex.org/W2792328488,Arno De Caigny; Kristof Coussement; Koen W. De Bock,"Decision trees and logistic regression are two very popular algorithms in customer churn prediction with strong predictive performance good comprehensibility. Despite these strengths, decision tend to have problems handle linear relations between variables has difficulties interaction effects variables. Therefore a new hybrid algorithm, the logit leaf model (LLM), is proposed better classify data. The idea behind LLM that different models constructed on segments of data rather than entire dataset lead while maintaining comprehensibility from leaves. consists stages: segmentation phase phase. In first stage identified using rules second created for every this tree. This approach benchmarked against trees, regression, random forests regards area under receiver operating characteristics curve (AUC) top decile lift (TDL) used measure which scores significantly its building blocks performs at least as well more advanced ensemble methods trees. Comprehensibility addressed by case study we observe some key benefits compared or regression.",2018-09-01,OPENALEX,W2792328488,https://openalex.org/W2792328488
10.1002/prep.201700154,"Facile Fabrication of Nanoparticles Stacked 2,6‐diamino‐3,5‐dinitropyrazine‐1‐oxide (LLM‐105) Sub‐microspheres via Electrospray Deposition",https://openalex.org/W2769768606,Chuan Huang; Jiahui Liu; Ling Ding; Dunju Wang; Zhijian Yang; Fude Nie,"Abstract In this study, nanoparticles stacked 2,6‐diamino‐3,5‐dinitropyrazine‐1‐oxide (LLM‐105) sub‐microspheres were successfully fabricated by electrospray deposition. These monodisperse with a diameter from 200–500 nm are composed of 50 nanoparticles, and after preserved six months these spheres retain the same structure morphology. The effect process parameter including flow rate nozzle size on morphology sub‐microsphere is investigated. results show that, for given solution concentration has little while shows significant effect. X‐ray diffraction (XRD) Fourier transform infrared spectroscopy (FT‐IR) exhibit that as‐prepared have crystal chemical as raw materials. thermal behavior performed simultaneous analysis (TG‐DSC) verifies in comparison to materials lower onset degradation temperature.",2017-11-14,OPENALEX,W2769768606,https://openalex.org/W2769768606
10.1093/jxb/erz409,The wheat LLM-domain-containing transcription factor TaGATA1 positively modulates host immune response to Rhizoctonia cerealis,https://openalex.org/W2973232040,Xin Liu; Xinna Zhu; Xuening Wei; Chungui Lu; Fangdi Shen; Xuewen Zhang; Zengyan Zhang,A wheat LLM-domain-containing B-GATA transcription factor positively regulates the host immune response to important pathogen Rhizoctonia cerealis.,2019-09-19,OPENALEX,W2973232040,https://openalex.org/W2973232040
10.1016/0039-6028(71)90071-9,LLM versus LMM Auger transitions for the light elements,https://openalex.org/W2053780715,M.F. Chung; L.H. Jenkins,,1971-12-01,OPENALEX,W2053780715,https://openalex.org/W2053780715
10.1021/acs.jpcc.8b07817,"Kinetic Analysis of Overlapping Multistep Thermal Decomposition of 2,6-Diamino-3,5-dinitropyrazine-1-oxide (LLM-105)",https://openalex.org/W2897977016,Yu Qian; Yu Liu; Heliang Sui; Jie Sun; Jinshan Li,"Thermal decomposition kinetic behavior of energetic materials is substantial importance for safety enhancement in manufacturing, usage, and storage. The thermal 2,6-diamino-3,5-dinitropyrazine-1-oxide (LLM-105) was studied by simultaneous differential scanning calorimetry thermogravimetric analysis (DSC–TG). LLM-105 a two-step process which the overall reaction deconvoluted into two steps better through different physical meanings consideration data derived from DSC TG. Kinetic parameters individual were characterized isoconversional combined methods. It found that activation energy first step 222.2 ± 0.5 kJ mol–1, whereas second 244.5 mol–1. Both mostly obeyed nucleation growth models (Avrami–Erofeev (A3)). validity obtained tested successful reconstruction original experimental curves. also confirmed electronic microscopy observations morphology evolution during decomposition. contributed to comprehensive in-depth understanding LLM-105.",2018-10-19,OPENALEX,W2897977016,https://openalex.org/W2897977016
10.1016/j.enmf.2020.12.001,"Anomalous sensitivity related to crystal characteristics of 2,6-diamino-3,5-dinitropyrazing-1-oxide (LLM-105)",https://openalex.org/W3112992816,Hongzhen Li; Xin Zhou; Run Xu; Shilong Hao; Dong Chen; Xin Zhou,"Sensitivity is one of the greatest concerns in explosive materials, and its underlying mechanism remains ambiguous. In this study, 2,6-diamino-3,5- dinitropyrazine -1-oxide (LLM-105) crystals with different morphologies, such as crosswise, needle, plate, block, diamond, spherical shapes, were prepared using a solution crystallization method, their crystal characteristics sensitivity investigated. It was found that H50 values (impact sensitivity) LLM-105 vary within an extremely wide range 33.8–112.2 cm are mainly influenced by particle morphology, integrity, surface defects, roughness, but mostly independent intracrystalline defects sizes. The friction sensitivities all samples zero unaffected characteristics. G50 (shock 0–6.9 mm, increasing decreasing sizes apparent density. Notably, shape, good smooth surface, fewer insensitive to impact shock impulse. relationships between complex show some abnormal phenomena, which can be attributed packing style aggregated microstructures LLM-105.",2020-12-01,OPENALEX,W3112992816,https://openalex.org/W3112992816
10.1016/j.compositesb.2020.107824,Tuning the mechanical performance efficiently of various LLM-105 based PBXs via bioinspired interfacial reinforcement of polydopamine modification,https://openalex.org/W3003524696,Congmei Lin; Yushi Wen; Xiaona Huang; Zhijian Yang; Feiyan Gong; Xu Zhao; Shilong Hao; Liping Pan; Ling Ding; Jiang Li; Shaoyun Guo,"Inspired by mussel adhesion, the self-polymerization of dopamine was adopted to coat 2,6-diamino-3,5-dinitropyrazine-1-oxide (LLM-105) crystals with different crystal characteristics. It has been demonstrated that quality and surface roughness played a crucial role in mechanical sensitivity bioinspired interfacial reinforcement LLM-105 based energetic composites. The high brought benefits for safety performances polydopamine (PDA) modified crystals, drop height 50% explosion probability (H50) higher than 112.2 cm. After PDA coating 6 h, compressive tensile strength polymer bonded explosives (PBXs) could be improved 27%–52% 47%–100%, respectively. enhancing effect properties more pronounced smooth surface, due physical “interlocking block” at interface induced increase after modification. overall results indicated had great potential improving PBXs while maintaining performance.",2020-04-01,OPENALEX,W3003524696,https://openalex.org/W3003524696
10.1007/s00466-011-0600-y,LLM and X-FEM based interface modeling of fluid–thin structure interactions on a non-interface-fitted mesh,https://openalex.org/W2008753542,Tomohiro Sawada; Akira Tezuka,,2011-04-19,OPENALEX,W2008753542,https://openalex.org/W2008753542
10.1007/jhep01(2011)067,The electrostatic view on M-theory LLM geometries,https://openalex.org/W3103016817,Aristomenis Donos; Joan Simón,"We describe the geometry of R x SO(3) SO(6) U(1) invariant half-BPS M-theory configurations considered in LLM terms their electrostatic variables. discuss both regular configurations, such as AdS_4 S^7 and AdS_7 S^4 vacua or simple excited solutions, singular ones superstar geometries. This allows us to identify appropriate boundary conditions describing most general smooth superstar-like configurations. also compute masses, matching expected result from microscopic interpretation, but now at finite radius curvature.",2011-01-01,OPENALEX,W3103016817,https://openalex.org/W3103016817
10.1002/prep.201800151,DAPO‐LLM‐105: Improving the Particle Morphology and Thermal Stability,https://openalex.org/W2915372925,Éric Pasquinet; Nicolas Pin; Alexandre Forzy; P. Palmas; Joël Rideau; Arnaud Beaucamp; Eric Lalière; Marie‐L. Perdrigeat; Stephane Quéré; Christelle Barthet; Anne Wuillaume,"Abstract A number of different quench media were evaluated in order to improve the characteristics 2,6‐diamino‐3,5‐dinitropyrazine‐1‐oxide (LLM‐105) obtained via nitration 2,6‐diaminopyrazine‐1‐oxide (DAPO). After a first screening phase, seven aqueous solutions containing selected additive used nitrating mixture scale‐up experiments. Complete characterization resulting LLM‐105 indicated that nitrate salts as additives, especially ammonium and potassium nitrate, provided high quality product, without requiring any further recrystallization. Notably, both particle morphology thermal stability significantly improved over ones using standard pure water quench. This new DAPO‐LLM‐105 has been compared conventional DMP‐LLM‐105 showed similar with even better insensitivity data.",2019-02-19,OPENALEX,W2915372925,https://openalex.org/W2915372925
10.1016/j.nuclphysb.2005.09.026,Dynamics of giant-gravitons in the LLM geometry and the fractional quantum Hall effect,https://openalex.org/W1995916760,Jian Dai; Xiaojun Wang; Yong‐Shi Wu,"The LLM's 1/2 BPS solutions of IIB supergravity are known to be closely related the integer quantum Hall droplets with filling factor $\nu=1$, and giant gravitons in LLM geometry behave like quasi-holes those droplets. In this paper we consider how fractional effect may arise context, by studying dynamics graviton probes a special geometry, AdS_5 X S^5 background, that corresponds circular droplet. study D3-branes wrapping on 3-sphere S^5. Their low energy world-volume theory, truncated sector, is shown described Chern-Simons finite-matrix model. We demonstrate these condense at right density further into fluid due repulsive interaction model, giving rise new states string theory. Some features novel physics discussed.",2005-12-01,OPENALEX,W1995916760,https://openalex.org/W1995916760
10.1007/jhep01(2021)080,Open giant magnons on LLM geometries,https://openalex.org/W3120908167,David Berenstein; Adolfo Holguin,"We compute sigma model solutions for rigidly rotating open strings suspended between giant gravitons in general LLM geometries. These are confined to the plane. all have a dispersion relation $\Delta-J$ that is consistent with saturation of BPS bound centrally extended spin chain. For special case circularly symmetric geometries, we can further evaluate amount angular momentum $J$ carried by these strings. This quantity diverges string configurations try move different ""coloring regions"" All quantities perturbative expansion t'Hooft coupling. AdS giants, field theory leading result via an analytic continuation $SU(2)$ result, help Bethe Ansatz $SL(2)$ sector. thus provide additional information on how radial direction $AdS$ arises from (open) chain calculations.",2021-01-14,OPENALEX,W3120908167,https://openalex.org/W3120908167
10.1088/2053-1591/1/2/025036,Deformation and fracture of LLM-105 molecular crystals studied by nanoindentation,https://openalex.org/W1965311919,S. O. Kucheyev; Alexander E. Gash; Tommy Lorenz,"Mechanical deformation of crystalline high explosives plays an important role in both the fabrication polymer-bonded and controlling their sensitivity to mechanically-induced decomposition. Here, we study behavior (010)-oriented LLM-105 β-HMX molecular crystals by nanoindentation with pyramidal (Berkovich) spherical (19 μm-diameter) indenters. Results reveal indentation elastic moduli 21 18 GPa Berkovich hardness 0.73 0.65 for HMX, respectively. For (but not HMX), stress remains essentially unchanged strains ∼10–25%, suggesting that inelastic above a certain strain proceeds via flow at constant stress. Both materials exhibit highly anisotropic surface fracture patterns after indentation, consistent along (011) cleavage planes. No deformation-induced material decomposition is observed either conditions used.",2014-06-12,OPENALEX,W1965311919,https://openalex.org/W1965311919
10.1556/1846.2015.00016,"Microreactor flow synthesis of the secondary high explosive 2,6-diamino-3,5-dinitropyrazine-1-oxide (LLM-105)",https://openalex.org/W1643210667,Nathaniel B. Zuckerman; Maxim Shusteff; Philip F. Pagoria; Alexander E. Gash,"The secondary high explosive 2,6-diamino-3,5-dinitropyrazine-1-oxide, or LLM-105, has been synthesized using a commercially available flow microreactor system. Investigations focused on optimizing nitration conditions of the cost effective 2,6-diaminopyrazine-1-oxide (DAPO) in order to test feasibility and viability as means for continuous synthesis LLM-105. typical benefits including safety, tight temperature control, decreased reaction time, improved product purity all appear be highly relevant However, process does not provide any gains yield, 50—60% yields are equivalent batch process. A key factor producing pure LLM-105 lies ability eliminate acid inclusions final crystalline material through both controlled quench recrystallization. optimized conditions, multigram scale-up results, analyses sample purity, quenching crystal morphology reported.",2015-09-01,OPENALEX,W1643210667,https://openalex.org/W1643210667
10.1016/j.physletb.2016.05.095,Holographic entanglement entropy of anisotropic minimal surfaces in LLM geometries,https://openalex.org/W2346541141,Chanju Kim; Kyung Kiu Kim; O-Kab Kwon,"We calculate the holographic entanglement entropy (HEE) of $\mathbb{Z}_k$ orbifold Lin-Lunin-Maldacena (LLM) geometries which are dual to vacua mass-deformed ABJM theory with Chern-Simons level $k$. By solving partial differential equations analytically, we obtain HEEs for all LLM solutions arbitrary M2 charge and $k$ up $\mu_0^2$-order where $\mu_0$ is mass parameter. The renormalized entropies monotonically decreasing near UV fixed point in accordance $F$-theorem. Except multiplication factor orders $\mu_0$, they independent overall scaling Young diagrams characterize geometries. Therefore can classify terms shape modulo size. HEE each family a pure number 't Hooft coupling constant except factor. extend our analysis analytically $\mu_0^4$-order symmetric droplet case.",2016-08-01,OPENALEX,W2346541141,https://openalex.org/W2346541141
10.1021/acs.jpca.0c10946,"Predicted Reaction Mechanisms, Product Speciation, Kinetics, and Detonation Properties of the Insensitive Explosive 2,6-Diamino-3,5-dinitropyrazine-1-oxide (LLM-105)",https://openalex.org/W3130098272,Brenden W. Hamilton; Brad A. Steele; Michael Sakano; Matthew P. Kroonblawd; I‐Feng W. Kuo; Alejandro Strachan,"2,6-Diamino-3,5-dinitropyrazine-1-oxide (LLM-105) is a relatively new and promising insensitive high-explosive (IHE) material that remains only partially characterized. IHEs are of interest for range applications from fundamental science standpoint, as the root causes behind insensitivity poorly understood. We adopt multitheory approach based on reactive molecular dynamic simulations performed with density functional theory, tight-binding, force fields to characterize reaction pathways, product speciation, kinetics, detonation performance LLM-105. compare contrast these predictions 1,3,5-triamino-2,4,6-trinitrobenzene (TATB), prototypical IHE, 1,3,5,7-tetranitro-1,3,5,7-tetrazoctane (HMX), more sensitive higher material. The combination different predictive models allows access processes operative progressively longer timescales while providing benchmarks assessing uncertainties in predictions. find early pathways LLM-105 decomposition extremely similar TATB; they involve intra- intermolecular hydrogen transfer. Additionally, falls between TATB HMX. agreement first-step but significant differences final formations. Predictions result wide values, one-step kinetic parameters show rates at high temperatures three out four considered.",2021-02-22,OPENALEX,W3130098272,https://openalex.org/W3130098272
10.1080/07391102.2021.1936179,"Identification of potential inhibitors for LLM of <i>Staphylococcus aureus</i>: structure-based pharmacophore modeling, molecular dynamics, and binding free energy studies",https://openalex.org/W3171484756,Reena Kumari; Vikram Dalal,"Staphylococcus aureus causes various life-threatening diseases in humans and developed resistance to several antibiotics. Lipophilic membrane (LLM) protein regulates bacterial lysis rate methicillin level S. aureus. To identify potential lead molecules, we performed a structure-based pharmacophore modeling by consideration of properties from LLM-tunicamycin complex. Further, virtual screening ZINC database against the LLM was conducted compounds were assessed for Lipinski ADMET properties. Based on pharmacokinetic, molecular docking, five inhibitors (ZINC000072380005, ZINC000257219974, ZINC000176045471, ZINC000035296288, ZINC000008789934) identified. Molecular dynamics simulation (MDS) these molecules evaluate stability after binding ligands. Several MDS analysis like RMSD, RMSF, Rg, SASA, PCA confirm that identified exhibit higher affinity as compared tunicamycin LLM. The free energy reveals range −218.76 −159.52 kJ/mol, which is (–116.13 kJ/mol). Individual residue decomposition concludes Asn148, Asp151, Asp208, His271, His272 play significant role formation lower LLM-inhibitor(s) complexes. These predicted displayed pharmacological structural may be further used develop novel antimicrobial aureus.Communicated Ramaswamy H. Sarma",2021-06-07,OPENALEX,W3171484756,https://openalex.org/W3171484756
10.1007/jhep07(2018)146,Exciting LLM geometries,https://openalex.org/W2807804539,Robert de Mello Koch; Jia-Hui Huang; Laila Tribelhorn,"We study excitations of LLM geometries. These geometries arise from the backreaction a condensate giant gravitons. Excitations condensed branes are open strings, which give rise to an emergent Yang-Mills theory at low energy. dynamics planar limit these gauge theories, accumulating evidence that they ${\cal N}=4$ super Yang-Mills. There three observations supporting this conclusion: (i) we argue for isomorphism between Hilbert space original and theory, (ii) OPE coefficients vanish (iii) spectrum anomalous dimensions is Despite fact Yang-Mills, explain why not theory.",2018-07-01,OPENALEX,W2807804539,https://openalex.org/W2807804539
10.1109/mmw.2004.1380279,Low loss matching (LLM) design technique for power amplifiers,https://openalex.org/W2131737196,Inder J. Bahl,"This paper describes a design methodology used for the development of multistage broadband power amplifiers. The method uses measured small-signal S-parameters and loadpull data in association with low loss matching (LLM) technique. Q-point amplifier was selected class-AB operation device order to obtain maximum power-added efficiency (PAE) bandwidth. In optimization using loadline techniques, four sets S-parameter data, corresponding gain, high current, were used. These files represent possible fabrication changes allow realization more tolerant process variations.",2004-12-01,OPENALEX,W2131737196,https://openalex.org/W2131737196
10.1007/s00894-017-3446-1,"Structural, mechanical properties, and vibrational spectra of LLM-105 under high pressures from a first-principles study",https://openalex.org/W2755076166,He-Hou Zong; Lei Zhang; Weibin Zhang; Sheng-Li Jiang; Yi Yu; Jun Chen,,2017-09-10,OPENALEX,W2755076166,https://openalex.org/W2755076166
10.1049/iet-rpg.2016.0061,Three‐phase grid‐tied single‐stage solar energy conversion system using LLMS control algorithm,https://openalex.org/W2478998673,Rahul Kumar Agarwal; Ikhlaq Hussain; Bhim Singh,"In this study, a three-phase grid-tied single-stage solar energy conversion system (SECS) is implemented using leaky least mean square (LLMS) based control algorithm. The SECS extracts the from photovoltaic cells and converts it into electrical energy. makes use of voltage source inverter to invert extracted DC power AC power. Apart SECS, configures grid, ripple filters connected linear or non-linear loads. main objective eliminate quality issues such as harmonics, fluctuations flickers, unbalancing in loads, reactive requirement so on. Moreover, operates at unity factor zero regulation modes. employs topology controlled by perturb & observe approach maximum point tracking technique for extracting fundamental component load currents, LLMS-based adaptive neural network method used. This modelled, designed simulated MATLAB simpower toolbox experimental validation carried out on developed prototype laboratory.",2016-08-09,OPENALEX,W2478998673,https://openalex.org/W2478998673
10.1002/prep.201900389,Rapid Assembly and Preparation of Energetic Microspheres LLM‐105/CL‐20,https://openalex.org/W3029210934,Yuanping Zhou; Conghua Hou; Congcong Li; Xin Zhang; Yingxin Tan; Jingyu Wang,"Abstract A novel composite microsphere of 2,4,6,8,10,12‐hexanitrohexaazaisowurtzitane (CL‐20) and 2,6‐diamino‐3,5‐dinitropyrazine‐1‐oxide (LLM‐105) were fabricated by spray drying technology. The morphology, structure thermal behavior the obtained particles characterized via scanning electron microscopy (SEM), fourier transform infrared spectroscopy (FT‐IR), powder x‐ray diffraction (PXRD) differential calorimetry (DSC). SEM results demonstrated that LLM‐105/CL‐20 microspheres in range 1–3 μm are relatively uniform. PXRD FT‐IR indicated peak patterns has shifted slightly from raw material. Thermal analysis implied energetic lower decomposition. In addition, a possible formation mechanism for was proposed. Moreover, impact sensitivity could be reduced 5 times compared to CL‐20. This work may introduce idea towards fabricating microspheres.",2020-05-26,OPENALEX,W3029210934,https://openalex.org/W3029210934
10.3390/cryst9080392,"Tuning the Crystal Habits of Organic Explosives by Antisolvent Crystallization: The Case Study of 2,6-dimaino-3,5-dinitropyrazine-1-oxid (LLM-105)",https://openalex.org/W2964440195,Xin Zhou; Junhui Shan; Dong Chen; Hongzhen Li,"Crystallization is one of the most important methods in crystal habit control explosive products. For this study, antisolvent crystallization experiments were carried out to tune habits 2,6-dimaino-3,5-dinitropyrazine-1-oxid (LLM-105). Dimethyl sulphoxide (DMSO) was used as an organic solvent. Water, methanol, acetic acid, nitromethane, acetone, ethanol, methylene chloride, o-dichlorobenzene, and toluene selected antisolvents. The X-shaped, spherical cluster-like, rod-like, needle-like, dendritic crystals successfully produced by varying kind antisolvent. These results manifested that polarity functional groups molecules played roles LLM-105 explosive. powder X-ray diffraction (PXRD) Fourier transform infrared (FT-IR) measurements indicated these antisolvents just tuned but did not change structure. differential scanning calorimetry (DSC) thermogravimetry (TG) obtained showed significantly affected thermal properties. This study can contribute investigation mechanism antisolvent-induced modification screen efficient",2019-07-30,OPENALEX,W2964440195,https://openalex.org/W2964440195
10.1007/jhep12(2012)023,Beyond LLM in M-theory,https://openalex.org/W3105933019,Eoin Ó Colgáin,"The Lin, Lunin, Maldacena (LLM) ansatz in D = 11 supports two independent Killing directions when a general spinor is considered. Here we show that these always commute, identify the spinors are charged, and both their inner product resulting geometry governed by fundamental constants. In particular, setting one constant to zero leads AdS7 x S4, other gives AdS4 S7, while flat spacetime recovered constants zero. Furthermore, equal, either LLM, or it corresponds Kowalski-Glikman solution where simply mass parameter.",2012-12-01,OPENALEX,W3105933019,https://openalex.org/W3105933019
10.1021/acs.jpca.7b03300,Characterization of the Isothermal Compression Behavior of LLM-172,https://openalex.org/W2616378542,Jennifer Ciezak‐Jenkins; Gustav M. Borstad; Iskander G. Batyrev,"The high-pressure behavior of 3,4-bis(4-nitro-1,2,5-oxadiazol-3-yl)-1,2,5-oxadiazole (LLM-172) has been studied to 36 GPa by Raman spectroscopy and 50 X-ray diffraction. spectra calculated unit-cell volumes at select pressures show reasonable qualitative agreement with first-principles density functional theory calculations. peaks exhibit a gradual broadening loss intensity upon compression near 20 GPa. Above GPa, most features disappear the exception modes associated skeletal ring modes. These were found persist (although low intensity) Because these very compressibility over pressure range studied, it is speculated that structure stable. diffraction suggests while crystal maintains an orthorhombic 40 gradually undergoes decomposition/amorphization beginning 10 Analysis results decomposition proceeds through isomerization, which leads formation C–O–N–O group rather than cleavage.",2017-05-24,OPENALEX,W2616378542,https://openalex.org/W2616378542
10.1039/d0cp02159h,"A mechanism for two-step thermal decomposition of 2,6-diamino-3,5-dinitropyrazine-1-oxide (LLM-105)",https://openalex.org/W3029856680,Yu Qian; Chuande Zhao; Longyu Liao; Hongzhen Li; Heliang Sui; Ying Yin; Jinshan Li,The thermal decomposition mechanism of the consecutive reactions LLM-105 was investigated based on gaseous products and solid reactants.,2020-01-01,OPENALEX,W3029856680,https://openalex.org/W3029856680
